vernacular_name;scientific_name;description;family;genus;order;taxon
Mésange nonette;Poecile palustris;nan;Paridae;Poecile;Passeriforme;Oiseau
Dendrocygne à ventre noir;Dendrocygna autumnalis;nan;Anatidae;Dendrocygna;Canards, Oies, Cygnes;Oiseau
Cygne tuberculé;Cygnus olor;nan;Anatidae;Cygnus;Canards, Oies, Cygnes;Oiseau
Tadorne de Belon;Tadorna tadorna;nan;Anatidae;Tadorna;Canards, Oies, Cygnes;Oiseau
Canard carolin, Canard branchu;Aix sponsa;nan;Anatidae;Aix;Canards, Oies, Cygnes;Oiseau
Canard mandarin;Aix galericulata;nan;Anatidae;Aix;Canards, Oies, Cygnes;Oiseau
Sarcelle d'été;Spatula querquedula;nan;Anatidae;Spatula;Canards, Oies, Cygnes;Oiseau
Canard souchet;Spatula clypeata;nan;Anatidae;Spatula;Canards, Oies, Cygnes;Oiseau
Canard chipeau;Mareca strepera;nan;Anatidae;Mareca;Canards, Oies, Cygnes;Oiseau
Canard siffleur;Mareca penelope;nan;Anatidae;Mareca;Canards, Oies, Cygnes;Oiseau
Sarcelle d'hiver;Anas crecca;nan;Anatidae;Anas;Canards, Oies, Cygnes;Oiseau
Nette rousse;Netta rufina;nan;Anatidae;Netta;Canards, Oies, Cygnes;Oiseau
Fuligule milouin;Aythya ferina;nan;Anatidae;Aythya;Canards, Oies, Cygnes;Oiseau
Fuligule morillon;Aythya fuligula;nan;Anatidae;Aythya;Canards, Oies, Cygnes;Oiseau
Fuligule à tête noire, Petit Fuligule, Petit morillon;Aythya affinis;nan;Anatidae;Aythya;Canards, Oies, Cygnes;Oiseau
Garrot à oeil d'or;Bucephala clangula;nan;Anatidae;Bucephala;Canards, Oies, Cygnes;Oiseau
Harle bièvre;Mergus merganser;nan;Anatidae;Mergus;Canards, Oies, Cygnes;Oiseau
Colin de Californie;Callipepla californica;nan;Odontophoridae;Callipepla;nan;Oiseau
Colin de Virginie;Colinus virginianus;nan;Odontophoridae;Colinus;nan;Oiseau
Gélinotte des bois;Tetrastes bonasia;nan;Phasianidae;Bonasa;nan;Oiseau
Lagopède alpin;Lagopus muta;nan;Phasianidae;Lagopus;nan;Oiseau
Grand Tétras;Tetrao urogallus;nan;Phasianidae;Tetrao;nan;Oiseau
Tétras lyre;Lyrurus tetrix;nan;Phasianidae;Lyrurus;nan;Oiseau
Perdrix grise;Perdix perdix;nan;Phasianidae;Perdix;nan;Oiseau
Faisan vénéré, Faisans de Chasse;Syrmaticus reevesii;nan;Phasianidae;Syrmaticus;nan;Oiseau
Faisan de Colchide;Phasianus colchicus;nan;Phasianidae;Phasianus;nan;Oiseau
Paon;Pavo cristatus;nan;Phasianidae;Pavo;nan;Oiseau
Coq bankiva, Coq, Poule;Gallus gallus;nan;Phasianidae;Gallus;nan;Oiseau
Caille des blés;Coturnix coturnix;nan;Phasianidae;Coturnix;nan;Oiseau
Perdrix rouge;Alectoris rufa;nan;Phasianidae;Alectoris;nan;Oiseau
Perdrix bartavelle;Alectoris graeca;nan;Phasianidae;Alectoris;nan;Oiseau
Engoulevent d'Europe;Caprimulgus europaeus;nan;Caprimulgidae;Caprimulgus;Martinets, Colibris;Oiseau
Martinet noir;Apus apus;nan;Apodidae;Apus;Martinets, Colibris;Oiseau
Outarde canepetière;Tetrax tetrax;nan;Otididae;Tetrax;Outardes;Oiseau
Coucou geai;Clamator glandarius;nan;Cuculidae;Clamator;Coucous;Oiseau
Coucou éclatant;Chrysococcyx lucidus;nan;Cuculidae;Chalcites;Coucous;Oiseau
Coucou à éventail;Cacomantis flabelliformis;nan;Cuculidae;Cacomantis;Coucous;Oiseau
Coucou gris;Cuculus canorus;nan;Cuculidae;Cuculus;Coucous;Oiseau
Pigeon biset;Columba livia;nan;Columbidae;Columba;Columbiformes;Oiseau
Pigeon colombin;Columba oenas;nan;Columbidae;Columba;Columbiformes;Oiseau
Pigeon ramier;Columba palumbus;nan;Columbidae;Columba;Columbiformes;Oiseau
Tourterelle peinte, Tourterelle malgache, Ramier;Nesoenas picturatus;nan;Columbidae;Nesoenas;Columbiformes;Oiseau
Tourterelle des bois;Streptopelia turtur;nan;Columbidae;Streptopelia;Columbiformes;Oiseau
Tourterelle turque;Streptopelia decaocto;nan;Columbidae;Streptopelia;Columbiformes;Oiseau
Tourterelle rieuse;Streptopelia roseogrisea;nan;Columbidae;Streptopelia;Columbiformes;Oiseau
Géopélie zébrée;Geopelia striata;nan;Columbidae;Geopelia;Columbiformes;Oiseau
Colombe à croissant, Perdrix croissant;Geotrygon mystacea;nan;Columbidae;Geotrygon;Columbiformes;Oiseau
Tourterelle à queue carrée;Zenaida aurita;nan;Columbidae;Zenaida;Columbiformes;Oiseau
Ptilope de la Société;Ptilinopus purpuratus;nan;Columbidae;Ptilinopus;Columbiformes;Oiseau
Ptilope de Makatea;Ptilinopus chalcurus;nan;Columbidae;Ptilinopus;Columbiformes;Oiseau
Ptilope des Tuamotu;Ptilinopus coralensis;nan;Columbidae;Ptilinopus;Columbiformes;Oiseau
Ptilope de Grey, Pigeon vert des îles;Ptilinopus greyi;nan;Columbidae;Ptilinopus;Columbiformes;Oiseau
Ptilope de Hutton;Ptilinopus huttoni;nan;Columbidae;Ptilinopus;Columbiformes;Oiseau
Ptilope de Petit-Thouars, Ptilope Dupetit-Thouars;Ptilinopus dupetithouarsii;nan;Columbidae;Ptilinopus;Columbiformes;Oiseau
Ptilope vlouvlou, Pigeon vert;Drepanoptila holosericea;nan;Columbidae;Drepanoptila;Columbiformes;Oiseau
Carpophage géant, Notou;Ducula goliath;nan;Columbidae;Ducula;Columbiformes;Oiseau
Râle d'eau;Rallus aquaticus;nan;Rallidae;Rallus;Grues;Oiseau
Râle des genêts;Crex crex;nan;Rallidae;Crex;Grues;Oiseau
Marouette ponctuée;Porzana porzana;nan;Rallidae;Porzana;Grues;Oiseau
Talève sultane, Poule sultane, Porphyrion bleu;Porphyrio porphyrio;nan;Rallidae;Porphyrio;Grues;Oiseau
Marouette de Baillon;Zapornia pusilla;nan;Rallidae;Zapornia;Grues;Oiseau
Grue cendrée;Grus grus;nan;Gruidae;Grus;Grues;Oiseau
Grèbe castagneux;Tachybaptus ruficollis;nan;Podicipedidae;Tachybaptus;nan;Oiseau
Grèbe huppé;Podiceps cristatus;nan;Podicipedidae;Podiceps;nan;Oiseau
Grèbe à cou noir;Podiceps nigricollis;nan;Podicipedidae;Podiceps;nan;Oiseau
Oedicnème criard;Burhinus oedicnemus;nan;Burhinidae;Burhinus;nan;Oiseau
Vanneau huppé;Vanellus vanellus;nan;Charadriidae;Vanellus;nan;Oiseau
Petit Gravelot;Charadrius dubius;nan;Charadriidae;Charadrius;nan;Oiseau
Gravelot à collier interrompu, Gravelot de Kent;Charadrius alexandrinus;nan;Charadriidae;Charadrius;nan;Oiseau
Courlis corlieu;Numenius phaeopus;nan;Scolopacidae;Numenius;nan;Oiseau
Courlis cendré;Numenius arquata;nan;Scolopacidae;Numenius;nan;Oiseau
Barge à queue noire;Limosa limosa;nan;Scolopacidae;Limosa;nan;Oiseau
Chevalier des Tuamotu;Prosobonia parvirostris;nan;Scolopacidae;Prosobonia;nan;Oiseau
Bécasse des bois;Scolopax rusticola;nan;Scolopacidae;Scolopax;nan;Oiseau
Bécassine des marais;Gallinago gallinago;nan;Scolopacidae;Gallinago;nan;Oiseau
Chevalier guignette;Actitis hypoleucos;nan;Scolopacidae;Actitis;nan;Oiseau
Chevalier culblanc;Tringa ochropus;nan;Scolopacidae;Tringa;nan;Oiseau
Chevalier gambette;Tringa totanus;nan;Scolopacidae;Tringa;nan;Oiseau
Chevalier sylvain;Tringa glareola;nan;Scolopacidae;Tringa;nan;Oiseau
Mouette tridactyle;Rissa tridactyla;nan;Laridae;Rissa;nan;Oiseau
Goéland railleur;Chroicocephalus genei;nan;Laridae;Chroicocephalus;nan;Oiseau
Mouette rieuse;Chroicocephalus ridibundus;nan;Laridae;Chroicocephalus;nan;Oiseau
